2026-07-06 11:59:41.997415 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:32:47.177403 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:32:52.511471 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:32:53.047848 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:32:53.739984 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:32:54.434369 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:32:54.816709 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:00.678564 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:01.280393 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:01.896710 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:02.281399 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:02.580077 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:07.828168 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:08.150703 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:08.525072 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:08.926715 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:09.379035 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:14.986759 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:15.832419 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:16.506018 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:16.986372 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:17.817574 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:23.265766 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:23.896746 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:24.219087 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:24.676669 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:25.234748 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:30.877534 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:31.636736 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:32.650421 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:33.448857 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:34.311297 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:39.906700 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:40.468220 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:41.030364 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:41.442768 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:41.860538 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:47.465806 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:47.961764 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:48.595158 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:49.125657 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:49.511165 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:55.162483 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:55.682572 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:56.090704 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:56.807880 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:33:57.341116 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:03.114366 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:03.848404 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:04.366541 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:04.964255 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:05.399258 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:10.878096 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:11.185851 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:11.682941 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:11.986098 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:12.253268 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:17.584761 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:17.874125 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:18.351092 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:18.642422 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:18.882455 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:34:24.020182 : single positional indexer is out-of-bounds
2026-07-07 11:34:24.115688 : single positional indexer is out-of-bounds
2026-07-07 11:34:24.201782 : single positional indexer is out-of-bounds
2026-07-07 11:34:24.302992 : single positional indexer is out-of-bounds
2026-07-07 11:34:24.394035 : single positional indexer is out-of-bounds
2026-07-07 11:34:29.792679 : single positional indexer is out-of-bounds
2026-07-07 11:34:30.146576 : single positional indexer is out-of-bounds
2026-07-07 11:34:30.497760 : single positional indexer is out-of-bounds
2026-07-07 11:34:31.019855 : single positional indexer is out-of-bounds
2026-07-07 11:34:31.418311 : single positional indexer is out-of-bounds
2026-07-07 11:34:36.527829 : single positional indexer is out-of-bounds
2026-07-07 11:34:36.614696 : single positional indexer is out-of-bounds
2026-07-07 11:34:36.697573 : single positional indexer is out-of-bounds
2026-07-07 11:34:36.781327 : single positional indexer is out-of-bounds
2026-07-07 11:34:36.886014 : single positional indexer is out-of-bounds
2026-07-07 11:34:41.990108 : single positional indexer is out-of-bounds
2026-07-07 11:34:42.083779 : single positional indexer is out-of-bounds
2026-07-07 11:34:42.172999 : single positional indexer is out-of-bounds
2026-07-07 11:34:42.268385 : single positional indexer is out-of-bounds
2026-07-07 11:34:42.347993 : single positional indexer is out-of-bounds
2026-07-07 11:34:47.448356 : single positional indexer is out-of-bounds
2026-07-07 11:34:47.551497 : single positional indexer is out-of-bounds
2026-07-07 11:34:47.650881 : single positional indexer is out-of-bounds
2026-07-07 11:34:47.791055 : single positional indexer is out-of-bounds
2026-07-07 11:34:47.887002 : single positional indexer is out-of-bounds
2026-07-07 11:34:53.754908 : single positional indexer is out-of-bounds
2026-07-07 11:34:54.232576 : single positional indexer is out-of-bounds
2026-07-07 11:34:54.856208 : single positional indexer is out-of-bounds
2026-07-07 11:34:55.422001 : single positional indexer is out-of-bounds
2026-07-07 11:34:55.991632 : single positional indexer is out-of-bounds
2026-07-07 11:35:01.132025 : single positional indexer is out-of-bounds
2026-07-07 11:35:01.252128 : single positional indexer is out-of-bounds
2026-07-07 11:35:01.458034 : single positional indexer is out-of-bounds
2026-07-07 11:35:01.582724 : single positional indexer is out-of-bounds
2026-07-07 11:35:01.691289 : single positional indexer is out-of-bounds
2026-07-07 11:35:06.794941 : single positional indexer is out-of-bounds
2026-07-07 11:35:06.898398 : single positional indexer is out-of-bounds
2026-07-07 11:35:06.983917 : single positional indexer is out-of-bounds
2026-07-07 11:35:07.129042 : single positional indexer is out-of-bounds
2026-07-07 11:35:07.232509 : single positional indexer is out-of-bounds
2026-07-07 11:35:13.149757 : single positional indexer is out-of-bounds
2026-07-07 11:35:13.267207 : single positional indexer is out-of-bounds
2026-07-07 11:35:13.469988 : single positional indexer is out-of-bounds
2026-07-07 11:35:13.594805 : single positional indexer is out-of-bounds
2026-07-07 11:35:13.705533 : single positional indexer is out-of-bounds
2026-07-07 11:35:18.826911 : single positional indexer is out-of-bounds
2026-07-07 11:35:18.950923 : single positional indexer is out-of-bounds
2026-07-07 11:35:19.053355 : single positional indexer is out-of-bounds
2026-07-07 11:35:19.176028 : single positional indexer is out-of-bounds
2026-07-07 11:35:19.294019 : single positional indexer is out-of-bounds
2026-07-07 11:35:25.622542 : single positional indexer is out-of-bounds
2026-07-07 11:35:26.547974 : single positional indexer is out-of-bounds
2026-07-07 11:35:26.940822 : single positional indexer is out-of-bounds
2026-07-07 11:35:27.310795 : single positional indexer is out-of-bounds
2026-07-07 11:35:27.799863 : single positional indexer is out-of-bounds
2026-07-07 11:35:32.920333 : single positional indexer is out-of-bounds
2026-07-07 11:35:33.034833 : single positional indexer is out-of-bounds
2026-07-07 11:35:33.158698 : single positional indexer is out-of-bounds
2026-07-07 11:35:33.283901 : single positional indexer is out-of-bounds
2026-07-07 11:35:33.402586 : single positional indexer is out-of-bounds
2026-07-07 11:35:38.522203 : single positional indexer is out-of-bounds
2026-07-07 11:35:38.635077 : single positional indexer is out-of-bounds
2026-07-07 11:35:38.784798 : single positional indexer is out-of-bounds
2026-07-07 11:35:38.912972 : single positional indexer is out-of-bounds
2026-07-07 11:35:39.013959 : single positional indexer is out-of-bounds
2026-07-07 11:35:44.133517 : single positional indexer is out-of-bounds
2026-07-07 11:35:44.278466 : single positional indexer is out-of-bounds
2026-07-07 11:35:44.481165 : single positional indexer is out-of-bounds
2026-07-07 11:35:44.613786 : single positional indexer is out-of-bounds
2026-07-07 11:35:44.747842 : single positional indexer is out-of-bounds
2026-07-07 11:35:49.853576 : single positional indexer is out-of-bounds
2026-07-07 11:35:49.981915 : single positional indexer is out-of-bounds
2026-07-07 11:35:50.132497 : single positional indexer is out-of-bounds
2026-07-07 11:35:50.258666 : single positional indexer is out-of-bounds
2026-07-07 11:35:50.366022 : single positional indexer is out-of-bounds
2026-07-07 11:35:55.951546 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:35:56.591875 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:35:57.175164 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:35:57.776671 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:35:58.216676 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:03.810890 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:04.620302 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:05.553548 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:06.091082 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:06.773847 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:13.639302 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:14.721240 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:15.703077 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:16.524748 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:17.414318 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:23.142109 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:24.187532 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:24.919121 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:25.835533 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:26.595430 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:31.949645 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:32.220051 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:32.510242 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:33.134868 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:33.497855 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:38.834488 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:39.420934 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:39.897105 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:40.380156 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:40.713646 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:46.962615 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:47.924163 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:49.005115 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:50.119366 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:50.557964 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:56.003544 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:56.622520 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:57.048665 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:57.761594 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:36:58.577800 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:03.920994 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:04.410099 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:05.038661 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:05.403532 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:05.905594 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:11.355005 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:11.973801 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:12.256787 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:12.699681 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:13.095510 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:18.376939 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:18.720907 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:19.118226 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:19.601994 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:20.383938 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:25.954173 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:26.528620 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:26.910623 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:27.738472 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:28.211445 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:33.737971 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:34.359045 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:34.696838 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:35.151767 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:35.453172 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:41.174526 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:41.515795 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:41.774528 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:42.160740 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:42.595939 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:48.144040 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:48.578363 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:48.961539 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:49.319799 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:49.711380 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:55.174339 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:56.005989 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:56.873017 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:57.448651 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:37:57.769162 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:03.126769 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:03.777147 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:04.395298 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:04.855515 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:05.431464 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:11.045838 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:11.520248 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:11.922825 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:12.294231 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:12.606148 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:18.045475 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:18.669080 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:19.102515 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:19.405639 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:20.089929 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:25.584761 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:26.044809 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:26.602122 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:27.222514 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:27.530563 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:32.959123 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:33.236640 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:33.589976 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:34.149512 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:34.476316 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:39.743673 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:40.119383 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:41.322492 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:41.695265 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:42.076577 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:47.421735 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:47.671612 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:47.909633 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:48.159689 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:48.301922 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:53.687701 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:54.172923 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:54.320512 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:54.559622 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:38:54.841339 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:39:00.192380 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:39:00.490168 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:39:00.789049 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:39:01.103700 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:39:01.380515 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:39:06.761066 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:39:07.104023 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:39:07.475775 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:39:07.842816 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:39:08.134238 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2026-07-07 11:39:13.561712 : The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
